College,y2020,y2019,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Brown,"60,696.00","58,404.00","55,466.00","53,419.00","51,366.00","49,346.00","47,434.00","45,612.00","43,758.00","42,230.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,"61,671.00","61,788.00","59,430.00","51,640.00","49,973.00","53,000.00","51,008.00","49,138.00","47,246.00","45,290.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,"58,586.00","56,784.00","54,818.00","52,853.00","50,953.00","49,116.00","47,286.00","45,358.00","43,413.00","41,541.00","39,666.00","37,954.00","35,404.00","33,681.00","31,881.00","30,367.00","28,567.00","25,924.00",,,,,,,,,,,,,,,,,,
Dartmouth,"60,117.00","57,638.00","55,453.00","52,950.00","51,438.00","49,506.00","48,108.00","46,752.00","45,042.00","42,996.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,"49,653.00","47,730.00","46,340.00","43,280.00","41,632.00","40,418.00","38,891.00","37,576.00","36,305.00","34,976.00","$33,696","$32,557","$31,456","$30,275","$28,752","$27,448","$26,066","$24,630","$23,457","$22,694","$22,054","$21,342","$20,600","$19,770","$18,838","$17,851","$16,856","$15,870","$14,860","$13,960","$13,085","$12,310","$11,645","$11,040","$10,266","$9,500"
Princeton,"48,502.00","52,800.00","50,340.00","47,140.00","45,300.00","43,450.00","41,820.00","40,170.00","39,537.00","37,865.00",,,,,,,,,,,,,,,,,,,,,,,,,,
UPenn,"60,042.00","57,770.00","55,584.00","53,534.00","51,464.00","49,536.00","47,668.00","45,890.00","43,738.00","42,098.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Yale,"57,700.00","55,500.00","53,430.00","51,400.00","49,480.00","47,600.00","45,800.00","44,000.00","42,300.00","40,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://irp.dpb.cornell.edu/university-factbook/tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/dartmouth-college/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/columbia-university-in-the-city-of-new-york/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/brown-university/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://oir.harvard.edu/fact-book/undergraduate_package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/princeton-university/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/university-of-pennsylvania/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.collegetuitioncompare.com/trends/yale-university/cost-of-attendance/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,